ID,Author,Birth Year,Death Year
1,牧野 剛,N/A,N/A,"Makino, Tsuyoshi"
3,入谷 芳彰,N/A,N/A,"Iriya, Yoshiaki"
4,山本 有二,N/A,N/A,"Yamamoto, Yuji"
5,ツルゲーネフ イワン,1818,1883,"Turgenev, Ivan"
6,二葉亭 四迷,1864,1909,"Futabatei, Shimei"
7,藤下 真潮,1961,N/A,"Fujishita, Mashio"
8,島木 健作,1903,1945,"Shimaki, Kensaku"
9,ドイル アーサー・コナン,1859,1930,"Doyle, Arthur Conan"
10,大久保 ゆう,1982,N/A,"Okubo, Yu"
11,立原 道造,1914,1939,"Tachihara, Michizo"
12,素木 しづ,1895,1918,"Shiraki, Shizu"
13,八木 重吉,1898,1927,"Yagi, Jukichi"
14,村山 槐多,1896,1919,"Murayama, Kaita"
15,芥川 龍之介　→芥川竜之介,1892,1927,"Akutagawa, Ryunosuke"
16,小中 千昭,N/A,N/A,"Konaka, Chiaki"
17,ウィード グスターフ,1858,1914,"Wied, Gustav"
19,アンデルセン ハンス・クリスチャン,1805,1875,"Andersen, Hans Christian"
20,渡辺 温,1902,1930,"Watanabe, On"
21,白田 秀彰,N/A,N/A,"Shirata, Hideaki"
22,三島 霜川,1876,1934,"Mishima, Sosen"
23,徳田 秋声,1872,1943,"Tokuda, Shusei"
24,島田 一郎,N/A,N/A,"Shimada, Ichiro"
25,有島 武郎,1878,1923,"Arishima, Takeo"
26,中原 中也,1907,1937,"Nakahara, Chuya"
27,小島 烏水,1873,1948,"Kojima, Usui"
28,早見 秋,1969,N/A,"Hayami, Aki"
29,レイモンド  エリック,N/A,N/A,"Raymond, Eric"
30,山形 浩生,N/A,N/A,"Yamagata, Hiroo"
31,葉山 嘉樹,1894,1945,"Hayama, Yoshiki"
32,植松 真人,N/A,N/A,"Uematsu, Masato"
34,内村 鑑三,1861,1930,"Uchimura, Kanzo"
35,太宰 治,1909,1948,"Dazai, Osamu"
37,黒島 伝治,1898,1943,"Kuroshima, Denji"
38,国木田 独歩,1871,1908,"Kunikida, Doppo"
40,織田 作之助,1913,1947,"Oda, Sakunosuke"
41,徳永 真一,1973,N/A,"Tokunaga, Shin'ichi"
42,寺田 寅彦,1878,1935,"Terada, Torahiko"
43,吉行 エイスケ,1906,1940,"Yoshiyuki, Eisuke"
45,三遊亭 圓朝　→三遊亭円朝,1839,1900,"San'yutei, Encho"
46,鈴木 行三,N/A,1962,"Suzuki, Kozo"
47,長尾 高弘,1960,N/A,"Nagao, Takahiro"
48,南部 修太郎,1892,1936,"Nanbu, Shutaro"
49,北條 民雄　→北条民雄,1914,1937,"Hojo, Tamio"
50,泉 鏡花,1873,1939,"Izumi, Kyoka"
51,幸田 露伴,1867,1947,"Koda, Rohan"
52,紫式部,N/A,N/A,"Murasaki Shikibu,"
54,佐野 良二,1940,N/A,"Sano, Ryoji"
55,富田 倫生,1952,2013,"Tomita, Michio"
56,平田 剛士,1964,N/A,"Hirata, Tsuyoshi"
57,福田 英子,1865,1927,"Fukuda, Hideko"
58,伊藤 左千夫,1864,1913,"Ito, Sachio"
59,高橋 悠治,1938,N/A,"Takahashi, Yuji"
60,浮世絵 太郎,N/A,N/A,"Ukiyoe, Taro"
61,橋本 進吉,1882,1945,"Hashimoto, Shinkichi"
62,西川 光男,N/A,N/A,"Nishikawa, Mitsuo"
63,宮武 外骨,1867,1955,"Miyatake, Gaikotsu"
64,樋口 一葉,1872,1896,"Higuchi, Ichiyo"
65,九鬼 周造,1888,1941,"Kuki, Shuzo"
66,束原 和多志,N/A,N/A,"Tsukahara, Watashi"
67,萩原 朔太郎,1886,1942,"Hagiwara, Sakutaro"
69,高野 敦志,1963,N/A,"Takano, Atsushi"
70,豊田 勇造,N/A,N/A,"Toyoda, Yuzo"
71,立花 実,1933,1968,"Tachibana, Minoru"
72,山中 貞雄,1909,1938,"Yamanaka, Sadao"
73,作者不詳,N/A,N/A,N/A
74,梶井 基次郎,1901,1932,"Kajii, Motojiro"
75,リルケ ライネル・マリア,1875,1926,"Rilke, Rainer Maria"
76,岡本 かの子,1889,1939,"Okamoto, Kanoko"
77,押川 春浪,1876,1914,"Oshikawa, Shunro"
79,森野 光,N/A,N/A,"Morino, Mitsuru"
80,平出 修,1878,1914,"Hiraide, Shu"
81,宮沢 賢治,1896,1933,"Miyazawa, Kenji"
82,岡本 綺堂,1872,1939,"Okamoto, Kido"
83,菊池 寛,1888,1948,"Kikuchi, Kan"
84,清水 哲男,1938,2022,"Shimizu, Tetsuo"
85,津野 潤,N/A,N/A,"Tsuno, Jun"
86,伊藤 乃理子,N/A,N/A,"Ito, Noriko"
87,綱島 梁川,1873,1907,"Tsunashima, Ryosen"
88,長谷川 集平,1955,N/A,"Hasegawa, Shuhei"
89,北 一輝,1883,1937,"Kita, Ikki"
90,清水 鱗造,1950,N/A,"Shimizu, Rinzo"
91,尾崎 紅葉,1868,1903,"Ozaki, Koyo"
92,鈴木 志郎康,1935,2022,"Suzuki, Shiroyasu"
93,南方 熊楠,1867,1941,"Minakata, Kumagusu"
94,ポー エドガー・アラン,1809,1849,"Poe, Edgar Allan"
95,佐々木 直次郎,1901,1943,"Sasaki, Naojiro"
96,夢野 久作,1889,1936,"Yumeno, Kyusaku"
97,オー・ヘンリー,1862,1910,"O. Henry,"
98,結城 浩,1963,N/A,"Yuki, Hiroshi"
99,菊池 美範,N/A,N/A,"Kikuchi, Yoshinori"
100,山本 ゆうじ,N/A,N/A,"Yamamoto, Yuji"
101,田宮 まや,N/A,N/A,"Tamiya, Maya"
102,石橋 忍月,1865,1926,"Ishibashi, Ningetsu"
103,松平 維秋,1946,1999,"Matsudaira, Tadaaki"
104,松永 延造,1895,1938,"Matsunaga, Enzo"
105,イギリス伝承童謡,N/A,N/A,N/A
106,北原 白秋,1885,1942,"Kitahara, Hakushu"
107,鈴木 三重吉,1882,1936,"Suzuki, Miekichi"
108,小泉 英政,1948,N/A,"Koizumi, Hidemasa"
109,冬 佳彰,N/A,N/A,"Fuyu, Yoshiaki"
110,藤井 貞和,1942,N/A,"Fujii, Sadakazu"
111,佐々木 味津三,1896,1934,"Sasaki, Mitsuzo"
112,水野 仙子,1888,1919,"Mizuno, Senko"
113,鶴岡 雄二,1953,N/A,"Tsuruoka, Yuji"
114,キプリング ラデャード,1865,1936,"Kipling, Rudyard"
115,ブレイク ウィリアム,1757,1827,"Blake, William"
116,鷹野 つぎ,1890,1943,"Takano, Tsugi"
117,津野 海太郎,1938,N/A,"Tsuno, Kaitaro"
118,長塚 節,1879,1915,"Nagatsuka, Takashi"
119,中島 敦,1909,1942,"Nakajima, Atsushi"
120,木下 杢太郎,1885,1945,"Kinoshita, Mokutaro"
121,新美 南吉,1913,1943,"Niimi, Nankichi"
122,桑原 一世,N/A,N/A,"Kuwabara, Ichiyo"
123,伊藤 孝昭,N/A,N/A,"Ito, Takaaki"
124,小熊 秀雄,1901,1940,"Oguma, Hideo"
125,小栗 虫太郎,1901,1946,"Oguri, Mushitaro"
126,田中 英光,1913,1949,"Tanaka, Hidemitsu"
127,藤本 和子,1939,N/A,"Fujimoto, Kazuko"
128,長谷 悟,N/A,N/A,"Hase, Satoru"
129,森 鴎外,1862,1922,"Mori, Ogai"
130,秋野 平,N/A,N/A,"Akino, Taira"
132,與謝野 晶子　→与謝野晶子,1878,1942,"Yosano, Akiko"
133,菅原孝標女,1008,N/A,"Sugawara Takasue no musume,"
134,佐左木 俊郎,1900,1933,"Sasaki, Toshiro"
135,鈴木 邦男,N/A,N/A,"Suzuki, Kunio"
136,山村 暮鳥,1884,1924,"Yamamura, Bocho"
137,岩野 泡鳴,1873,1920,"Iwano, Homei"
138,翡翠,N/A,N/A,"Hisui,"
139,朝倉 克彦,N/A,N/A,"Asakura, Katsuhiko"
140,テニソン アルフレッド,1809,1892,"Tennyson, Alfred"
141,坪内 逍遥,1859,1935,"Tsubouchi, Shoyo"
142,関 富士子,N/A,N/A,"Seki, Fujiko"
143,浜野 サトル,N/A,N/A,"Hamano, Satoru"
144,畑仲 哲雄,1961,N/A,"Hatanaka, Tetsuo"
145,小葉 武史,1976,N/A,"Koba, Takeshi"
146,種田 山頭火,1882,1940,"Taneda, Santoka"
147,三浦 久,1945,N/A,"Miura, Hisashi"
148,夏目 漱石,1867,1916,"Natsume, Soseki"
149,富岡 誠　→中浜哲,1897,1926,"Tomioka, Makoto"
150,薄田 泣菫,1877,1945,"Susukida, Kyukin"
151,西府 章,N/A,N/A,"Saifu, Akira"
152,弾 射音,N/A,N/A,"Dan, Shanon"
153,石川 啄木,1886,1912,"Ishikawa, Takuboku"
154,田中 貢太郎,1880,1941,"Tanaka, Kotaro"
155,紀 貫之,N/A,N/A,"Kino, Tsurayuki"
156,小林 多喜二,1903,1933,"Kobayashi, Takiji"
157,北村 透谷,1868,1894,"Kitamura, Tokoku"
158,島崎 藤村,1872,1943,"Shimazaki, Toson"
159,辻 潤,1884,1944,"Tsuji, Jun"
160,海野 十三,1897,1949,"Unno, Juza"
162,若山 牧水,1885,1928,"Wakayama, Bokusui"
163,若松 賤子,1864,1896,"Wakamatsu, Shizuko"
164,堺 利彦,1871,1933,"Sakai, Toshihiko"
165,内田 魯庵,1868,1929,"Uchida, Roan"
166,サマン アルベール,1858,1900,"Samain, Albert"
167,町野 修三,1943,2002,"Machino, Shuzo"
168,横光 利一,1898,1947,"Yokomitsu, Riichi"
169,大杉 栄,1885,1923,"Osugi, Sakae"
179,黒岩 涙香,1862,1920,"Kuroiwa, Ruiko"
180,ヴォルテール,1694,1778,"Voltaire,"
181,能美 武功,N/A,N/A,"Nomi, Takenori"
182,西田 幾多郎,1870,1945,"Nishida, Kitaro"
183,牧野 信一,1896,1936,"Makino, Shin'ichi"
189,武田 麟太郎,1904,1946,"Takeda, Rintaro"
190,大手 拓次,1887,1934,"Ote, Takuji"
191,山本 光夫,1959,N/A,"Yamamoto, Mitsuo"
192,岩本 太郎,N/A,N/A,"Iwamoto, Taro"
193,久森 謙二,1940,N/A,"Hisamori, Kenji"
